"","i","v","f","one","two","T"
"5427",1586,59009,6,"PSEBM","PSOEXBIME","P SOC EXP BIOL MED"
"5428",479,57902,6,"PSJ","POSTJ","POLICY STUD J"
"5429",5002,62425,1,"PSM","PHSPME","PHYS SPORTS MED"
"5430",2491,59914,1,"PSP","PSSCPO","PS-POLIT SCI POLIT"
"5431",1089,58512,52,"PSPB","PESOPSB","PERS SOC PSYCHOL B"
"5432",6095,63518,1,"PSPI","PSOPHIN","P SOC PHOTO-OPT INS"
"5433",2376,59799,14,"PSPR","PESOPSRE","PERS SOC PSYCHOL REV"
"5434",1426,58849,1,"PSRM","POSCREME","POLIT SCI RES METH"
"5435",1830,59253,0,"PSSP","PASTSPPO","PALGR STUD SPORT POL"
"5436",6400,63823,1,"PST","PESPTO","PE SPORT TODAY"
"5437",6550,63973,1,"PST","PRSPTR","PRAKT SPORT TRAUMAT"
"5438",6554,63977,3,"PST","PRSPTR","PRAKT SPORT TRAUMATO"
"5439",6556,63979,1,"PST","PRSPTR","PRAKT SPRT TRAUMATOL"
"5440",5600,63023,1,"PT","PATH","PAIN THER"
"5441",5320,62743,1,"PT","PETR","PERFORMANCE TRAINING"
"5442",5392,62815,1,"PT","PHTE","PHYS TEACH"
"5443",171,57594,172,"PT","PHTH","PHYS THER"
"5444",2405,59828,3,"PT","PHTH","PHARMACOL THERAPEUT"
"5445",588,58011,4,"PT","PHTR","PHYS TRAIN"
"5446",1946,59369,1,"PT","PHTR","PHYS TRAINING"
"5447",6562,63985,1,"PT","PHTR","PHYS TREAT"
"5448",6522,63945,1,"PT","POTO","POETICS TODAY"
"5449",3671,61094,1,"PT","PRTE","PRESENCE TELEOPERATO"
"5450",1864,59287,2,"PT","PSTH","PSYCHOMETRIC THEORY"
"5451",5293,62716,1,"PT","PSTH","PSYCHOTHERAPY THEORY"
"5452",2686,60109,5,"PT","PSTO","PSYCHOL TODAY"
"5453",5147,62570,1,"PT","PSTR","PSYCHOSOCIAL TREATME"
"5454",1701,59124,23,"PTAP","PHTHANPR","PHYSIOTHERAPY THEORY AND PRACTICE"
"5455",3893,61316,1,"PTEA","PHTEELA","PHYSIOL TEST ELITE A"
"5456",3283,60706,1,"PTEA","PHTEELAT","PHYSL TESTS ELITE AT"
"5457",5782,63205,2,"PTEP","PSTEEPE","PSIC.: TEOR. E PESQ."
"5458",5071,62494,1,"PTHP","PHTEHIP","PHYSL TESTING HIGH P"
"5459",1339,58762,10,"PTP","PHTHPR","PHYSIOTHER THEOR PR"
"5460",2507,59930,1,"PTP","PSTEPR","PSICOLOGIA TEORIA PR"
"5461",542,57965,9,"PTR","PHTHRE","PHYS THER REV"
"5462",1894,59317,1,"PTR","PHTHRE","PHYS THERAPY REV"
"5463",5836,63259,1,"PTR","PHTHRE","PHYS THER REHABIL"
"5464",5987,63410,1,"PTR","PHTHRE","PHYS THER RES"
"5465",3049,60472,13,"PTRJ","PHTHREJ","PHYS THER REHABIL J"
"5466",3060,60483,1,"PTRSA","PHTRSOA","PHILOS T R SOC A"
"5467",4318,61741,4,"PTRSB","PHTROSOB","PHILOS T ROY SOC B"
"5468",1877,59300,7,"PTRSB","PHTRSOB","PHILOS T R SOC B"
"5469",5125,62548,1,"PTRSL","PHTROSOL","PHILOS T ROYAL SOC L"
"5470",235,57658,298,"PTS","PHTHSP","PHYS THER SPORT"
"5471",162,57585,1,"PU","PAUK","PATENT UKRAINE"
"5472",4494,61917,2,"PU","PRUR","PROG UROL"
"5473",6052,63475,1,"PUC","PEUBCO","PERS UBIQUIT COMPUT"
"5474",2931,60354,3,"PUS","PUUNSC","PUBLIC UNDERST SCI"
"5475",5869,63292,1,"PV","PEVO","PERFORMANCE VOLLEYBA"
"5476",966,58389,41,"PV","PRVI","PRESENCE-TELEOP VIRT"
"5477",5710,63133,1,"PVP","PUVAP","PULMONARY VASCULAR P"
"5478",4424,61847,1,"PWP","PEWOPH","PEDIAT WORK PHYSL"
"5479",2431,59854,16,"PWQ","PSWOQU","PSYCHOL WOMEN QUART"
"5480",38,57461,130,"Q","QU","QUEST"
"5481",3001,60424,1,"QA","QUAN","QUIM ANAL"
"5482",2262,59685,2,"QAS","QACSU","Q ACCESS SUCCESS"
"5483",5155,62578,1,"QCI","QUCUI","QUESTIONS CULTURAL I"
"5484",2444,59867,1,"QG","QUGE","QUAEST GEOGR"
"5485",1065,58488,9,"QHR","QUHERE","QUAL HEALTH RES"
"5486",1062,58485,5,"QI","QUIN","QUAL INQ"
"5487",4770,62193,2,"QI","QUIN","QUINTESSENCE INT"
"5488",987,58410,1,"QIJS","QIRJSO","Q IRANIAN J SOCIOL"
"5489",3955,61378,1,"QIMS","QUIMMESU","QUANT IMAG MED SURG"
"5490",1314,58737,12,"QJE","QJEC","Q J ECON"
"5491",1776,59199,25,"QJEP","QJEXPS","Q J EXP PSYCHOL"
"5492",2761,60184,11,"QJEP","QJEXPS","Q J EXP PSYCHOL-A"
"5493",4814,62237,1,"QJEPC","QJEXPHCM","Q J EXP PHYSIOL CMS"
"5494",4831,62254,2,"QJM","QJJME","QJM-INT J MED"
"5495",5378,62801,2,"QJM","QJME","Q J MED"
"5496",3090,60513,13,"QLR","QULIRE","QUAL LIFE RES"
"5497",5269,62692,1,"QMR","QUMAR","QUALITATIVE MARKET R"
"5498",5680,63103,1,"QMR","QUMARE","QUAL MARK RES"
"5499",993,58416,2,"QNS","QNAST","Q NAT STUD"
"5500",3643,61066,1,"QP","QUPS","QUALITATIVE PSYCHOL"
"5501",4343,61766,1,"QP","QUPS","QUAL PSYCHOL"
"5502",3906,61329,1,"QP","QUPU","QUESTIONES PUBLICITA"
"5503",377,57800,31,"QQ","QUQU","QUAL QUANT"
"5504",1157,58580,0,"QQ","QUQU","QUEENS QUART"
"5505",1063,58486,6,"QR","QURE","QUAL RES"
"5506",3353,60776,2,"QR","QURE","QUALITATIVE REPORT"
"5507",4647,62070,2,"QR","QURE","QUAL REP"
"5508",6441,63864,1,"QRJ","QUREJ","QUAL RES J"
"5509",32,57455,11,"QRP","QUREPS","QUAL RES PSYCHOL"
"5510",1420,58843,2,"QRS","QURESP","QUALITATIVE RES SPOR"
"5511",33,57456,27,"QRSE","QURESPEX","QUAL RES SPORT EXERC"
"5512",1486,58909,1,"QTP","QUTEPA","QUADERNO TECNICO PAL"
"5513",3712,61135,1,"QTQM","QUTEQUM","QUAL TECHNOL QUANT M"
"5514",4475,61898,1,"R-NTEEF","RE-NETEENEDFI","RETOS - NEUVAS TENDENCIAS EN EDUCACION FISICA"
"5515",18,57441,75,"R","RA","RADIOLOGY"
"5516",3649,61072,17,"R","RA","RADIOGRAPHICS"
"5517",3933,61356,1,"R","RA","RADIOLOGE"
"5518",3530,60953,9,"R","RB","RBNE"
"5519",6322,63745,1,"R","RB","RBE"
"5520",73,57496,48,"R","RE","RETOS"
"5521",90,57513,1,"R","RE","REHABILITAR"
"5522",1574,58997,1,"R","RE","REDIPE"
"5523",1582,59005,3,"R","RE","RELIEVE"
"5524",2177,59600,1,"R","RE","RESPIRATION"
"5525",2794,60217,3,"R","RE","RESUSCITATION"
"5526",3108,60531,1,"R","RE","RESEAUX"
"5527",3294,60717,1,"R","RE","REDIE"
"5528",3357,60780,7,"R","RE","REFEREE"
"5529",4027,61450,1,"R","RE","RECHTSMEDIZIN"
"5530",5282,62705,1,"R","RE","REMA"
"5531",5752,63175,1,"R","RE","REMEFE"
"5532",315,57738,23,"R","RH","RHEUMATOLOGY"
"5533",4997,62420,1,"R","RI","RIPED"
"5534",2977,60400,1,"R","RO","ROKOMET"
"5535",2475,59898,1,"R","RP","RPD"
"5536",1960,59383,4,"R","RU","RUKOMET"
"5537",1962,59385,2,"R1","RO1","ROKOMET 1"
"5538",5786,63209,1,"RA(BDPPDLAL","REAB(ABRDEPSPSDELAAMLA","REVISTA ABP-APAL (ASSOCIACAO BRASILEIRA DE PSIQUIATRIA-ASOCIACION PSIQUIATRICA DE LA AMERICA LATINA)"
"5539",617,58040,1,"RA","REAC","REV ACCION"
"5540",2926,60349,1,"RA","REAC","RECHERCHES ACTIVITES"
"5541",721,58144,1,"RA","REAL","REV ALCANCE"
"5542",3670,61093,1,"RA","REAP","RECHERCHE APS"
"5543",6828,64251,1,"RA","REAQ","RES AQ"
"5544",6284,63707,2,"RA","RIAN","RISK ANAL"
"5545",2879,60302,2,"RACC","REARCICO","REV ARGENT CIENC COM"
"5546",4053,61476,0,"RAD","READDI","REV ADM DIALOGO"
"5547",613,58036,2,"RADD","REANDEDE","REV ANDAL DERECHO DE"
"5548",4624,62047,2,"RAE","REAGEF","RELATIVE AGE EFFECTS"
"5549",3601,61024,1,"RAE","REASEC","REV ASTURIANA EC"
"5550",1551,58974,2,"RAE","REASEN","REV ASOCIACION ENTRE"
"5551",4663,62086,1,"RAF","REACFI","RETOS ACTIVIDAD FISI"
"5552",3269,60692,1,"RAM","REALMÃ","REV. ALERG. MÃ©X."
"5553",2736,60159,5,"RAM","REARMA","REV ARTES MARCIALES"
"5554",3015,60438,3,"RAMB","REASMEBR","REV ASSOC MED BRAS"
"5555",710,58133,15,"RAMD","REANMEDE","REV ANDAL MED DEPORTE"
"5556",1705,59128,1,"RAMD","REANMEDE","REV ANDALUZA MED DEP"
"5557",2005,59428,8,"RAMD","REANMEDE","REV ANDAL MED DEPORT"
"5558",1661,59084,3,"RAS","ROAUSY","ROBOT AUTON SYST"
"5559",614,58037,1,"RB","REBI","REV. BIOÃ©T."
"5560",3119,60542,3,"RB","REBI","REDOX BIOL"
"5561",5818,63241,1,"RB","REBR","REV BRASILEIRA"
"5562",2336,59759,2,"RB","RIBY","RINSHO BYORI"
"5563",4496,61919,2,"RBAFS","REBRATFISA","REV BRAS ATIV FIS SA"
"5564",3559,60982,1,"RBC","REBRC","REVISTA BRASILEIRA C"
"5565",405,57828,18,"RBC","REBRCI","REV BRASILEIRA CIENC"
"5566",1624,59047,4,"RBC","REBRCI","REV BRAS CINEANTROPO"
"5567",2693,60116,1,"RBC","REBRCI","REV BRASILENA CINEAN"
"5568",4186,61609,1,"RBC","REBRCI","REV BRASILEIRA CINEA"
"5569",3511,60934,2,"RBCC","REBRCICA","REV BRAS CIR CARDIOV"
"5570",2027,59450,19,"RBCDH","REBRCIDEHU","REV. BRAS. CINEANTROPOM. DESEMPENHO HUM."
"5571",2144,59567,19,"RBCDH","REBRCIDEHU","REV BRAS CIN DES HUM"
"5572",1126,58549,7,"RBCE","REBRCIES","REV BRAS CIENC ESPOR"
"5573",1356,58779,9,"RBCE","REBRCIES","REV. BRAS. CIÃŠNC. ESPORTE"
"5574",2569,59992,1,"RBCM","RBRCIMO","R BRAS CI MOV"
"5575",1446,58869,2,"RBCM","REBRCIMO","REV BRAS CIEN MOV"
"5576",2592,60015,2,"RBCM","REBRCIMO","REV BRAS CIENC MOV"
"5577",3002,60425,1,"RBCM","REBRCIMO","REV BRAS CI MOV"
"5578",4185,61608,1,"RBDAFES","REBRDEATFIESA","REVISTA BRASILEIRA DE ATIVIDADE FISICA E SAUDE"
"5579",2140,59563,1,"RBDC&DH","REBRDECI&DEHU","REVISTA BRASILEIRA DE CINEANTROPOMETRIA & DESEMPENHO HUMANO."
"5580",4282,61705,1,"RBDMDE","REBRDEMEDOES","REVISTA BRASILEIRA DE MEDICINA DO ESPORTE"
"5581",4096,61519,1,"RBDP","REBRDEPS","REVISTA BRASILEIRA DE PSIQUIATRIA"
"5582",5479,62902,1,"RBE","REBREN","REV BRAS ENFERM"
"5583",3532,60955,1,"RBE","REBRES","REV BRASILEIRA ESPOR"
"5584",1396,58819,1,"RBEE","REBREDES","REV BRAS ED ESP"
"5585",1188,58611,23,"RBEFE","REBREDFÃES","REV. BRAS. EDUC. FÃ­S. ESPORTE"
"5586",1457,58880,6,"RBEFE","REBREDFIES","REV BRAS EDUC FIS ES"
"5587",92,57515,10,"RBF","REBRFI","REV BRAS FISIOTER"
"5588",2141,59564,4,"RBF","REBRFU","REV BRASILEIRA FUTEB"
"5589",5389,62812,1,"RBF","REBRFU","REV BRASILEIRA FUTSA"
"5590",1353,58776,10,"RBFF","REBRFUFU","REV BRAS FUTSAL FUTE"
"5591",6669,64092,2,"RBHH","REBRHEHE","REV. BRAS. HEMATOL. HEMOTER."
"5592",3329,60752,1,"RBME","REBRMEE","REV BRAZILEIRA MED E"
"5593",359,57782,80,"RBME","REBRMEES","REV BRAS MED ESPORTE"
"5594",3529,60952,2,"RBN","REBRNU","REV BRASILEIRA NUTR"
"5595",84,57507,1,"RBO","REBROR","REV BRAS ORTOP"
"5596",4353,61776,1,"RBO","REBROT","REV. BRAS. OTORRINOLARINGOL."
"5597",100,57523,4,"RBP","REBRPR","REV BRASILEIRA PRESC"
"5598",3512,60935,1,"RBP","REBRPR","REV BRAS PRESCRICAO"
"5599",5781,63204,1,"RBP","REBRPS","REV BRAS PSIQUIATR"
"5600",6576,63999,1,"RBPE","REBRPSES","REV BRAS PSI ESP"
"5601",2958,60381,4,"RBR","REBRRE","REV BRAS REUMATOL"
"5602",5431,62854,1,"RBSM","REBRSAMA","REV BRAS SAUDE MATER"
"5603",1265,58688,8,"RC","RECH","REV CHIM-BUCHAREST"
"5604",3527,60950,1,"RC","RECI","REV CINERGIS"
"5605",1501,58924,0,"RC","RECO","REV CONRADO"
"5606",3361,60784,1,"RC","RECO","REV CORPOCONSCIENCIA"
"5607",2003,59426,1,"RCA","RECIAC","REV CIENCIAS ACTIVID"
"5608",1575,58998,1,"RCA","RECIAR","REV CIENTIFICA ARQUI"
"5609",611,58034,29,"RCD","RECIDE","REV CIENCIAS DEPORTE"
"5610",5657,63080,1,"RCE","RECIEL","REV CIENT ELETR"
"5611",618,58041,2,"RCE","RECOED","REV COMPLUT EDUC"
"5612",4476,61899,2,"RCF","RECUFO","REV CURRICULUM FORMA"
"5613",5659,63082,0,"RCFEM","RECIFAEDM","REV CIENT FAC EDUC M"
"5614",3799,61222,1,"RCGJMC","RECIGEJOMACÃ","REV. CIENT. GEN. JOSÃ© MARÃ­A CÃ³RDOVA"
"5615",3298,60721,1,"RCIB","RECUINBI","REV CUB INVESTIG BIO"
"5616",3066,60489,1,"RCIS","RECEINSO","REV CERCET INTERV SO"
"5617",3365,60788,3,"RCM","RECEME","RED CELL METABOLISM"
"5618",5391,62814,2,"RCM","RECIMU","REV CIENTIFICA MULTI"
"5619",6638,64061,3,"RCMS","RACOMASP","RAPID COMMUN MASS SP"
"5620",3801,61224,2,"RCN","RECHNU","REV CHIL NUTR"
"5621",3606,61029,3,"RCNA","RACLNAM","RADIOL CLIN N AM"
"5622",309,57732,11,"RCO","RECHOR","REV CHIR ORTHOP"
"5623",2647,60070,1,"RCOT","RECHORTR","REV CHIR ORTHOP TRAU"
"5624",4479,61902,1,"RCS","RICUSP","RIV CULTURA SPORT"
"5625",5400,62823,1,"RCU","RECAUM","REV CAMPUS UMMTO"
"5626",2882,60305,1,"RD","REDI","REV DIGITAL"
"5627",2542,59965,7,"RDCNA","RHDICLNAM","RHEUM DIS CLIN N AM"
"5628",1513,58936,7,"RDD","REDEDI","RES DEV DISABIL"
"5629",897,58320,3,"RDD","REDIDE","REV DIGITAL DEPORTIV"
"5630",5350,62773,1,"RDE","REDAED","RES DANC EDUC"
"5631",125,57548,2,"RDE","REDIEF","REV DIGITAL EFDEPORT"
"5632",1309,58732,5,"RDES","RIDIECSP","RIV DIRITTO EC SPORT"
"5633",2758,60181,2,"RDP","RIDEPO","RISK DECISION POLICY"
"5634",1399,58822,1,"RDU","REDIUN","REV DIGITAL UNIV"
"5635",5168,62591,1,"RE","REEC","RES ECON"
"5636",65,57488,4,"RE","REED","REV EDUC-MADRID"
"5637",619,58042,11,"RE","REED","REV EDUC"
"5638",1400,58823,1,"RE","REED","REV ED"
"5639",2453,59876,1,"RE","REED","REV EDUCACION"
"5640",2001,59424,1,"RE","REEN","REV ENSAIOS"
"5641",6782,64205,1,"REA","REESAN","REV ESPANOLA ANTROP"
"5642",609,58032,10,"REB","REEBA","REV E BALONMANO"
"5643",4567,61990,1,"REC","REECU","REV E CURRICULUM"
"5644",1137,58560,1,"REC","REESCA","REV ESP CARDIOL"
"5645",864,58287,11,"RED","REENDE","REV ENTRENAMIENTO DE"
"5646",1211,58634,3,"RED","REENDE","REV ENTRENMIENTO DEP"
"5647",3048,60471,1,"RED","REENDE","REV ENTREN DEPORT"
"5648",2127,59550,1,"REE","REENES","REV ENTRENADOR ESPAN"
"5649",1559,58982,4,"REE","REESED","REV ESPANOLA EDUCACI"
"5650",2549,59972,1,"REE","REEUED","REV EUROPEA EDUCACIO"
"5651",5817,63240,1,"REEF","REESEDFI","REV ESPANOLA ED FIS"
"5652",4111,61534,1,"REEFD","REESEDFIDE","REV ESP ED FIS DEP"
"5653",2642,60065,2,"REEU","REESENUS","REV ESC ENFERM USP"
"5654",893,58316,8,"REF","REEDFI","REV EDUCACAO FISICA"
"5655",1456,58879,1,"REF","REEDFI","REV EDUCACAO FISICAU"
"5656",5481,62904,1,"REF","REEDFI","REV ED FIS"
"5657",5099,62522,1,"REF","REESFE","REV ESTUDOS FEMINIST"
"5658",5100,62523,1,"REF","REESFE","REV. ESTUD. FEM."
"5659",4812,62235,1,"REF","REESFI","REV ESP FISIOL"
"5660",4969,62392,1,"REFU","REDFIUE","R EDUCACAO FISICA UE"
"5661",580,58003,11,"REFU","REEDFIUE","REV. EDUC. FIS. UEM"
"5662",1402,58825,1,"REI","REELIN","REV ELECTRON INTERUN"
"5663",5469,62892,1,"REI","REESIN","REV ESTUDIOS INVESTI"
"5664",6412,63835,1,"REM","RAETMU","RACE ETHNICITY MULTI"
"5665",469,57892,1,"REM","REELME","REV ELECT METODOLOGI"
"5666",6658,64081,1,"REM","REEXME","RES EXP MED"
"5667",5000,62423,1,"RENC","REESNUCO","REV ESP NUTR COMUNIT"
"5668",3050,60473,3,"RENHD","REESNUHUDI","REV ESP NUTR HUM DIE"
"5669",5654,63077,1,"REO","REEDON","REV ED ONLINE"
"5670",5085,62508,1,"REO","REEMOR","RES EMOTION ORGAN"
"5671",3537,60960,1,"REOP","REESORPS","REV ESP ORIENTAC PSI"
"5672",5163,62586,1,"REP","REECPO","REV ECON POLIT"
"5673",2455,59878,1,"REP","REEDPH","REV ED PHYS"
"5674",5278,62701,1,"REP","REELPS","REV ELECT PSICOLOGIA"
"5675",5536,62959,2,"REP","REENPE","RESILIENCE ENG PERSP"
"5676",930,58353,2,"REP","REESPE","REV ESP PEDAGOG"
"5677",1741,59164,21,"RER","REEDRE","REV EDUC RES"
"5678",6575,63998,1,"RER","REENRE","REV. ENF. REF."
"5679",1848,59271,2,"RES","REECST","REV ECON STUD"
"5680",3100,60523,7,"RES","REECST","REV ECON STAT"
"5681",3567,60990,1,"RES","REELSA","REV ELETRONICA SAUDE"
"5682",1340,58763,4,"RES","REEPSA","REV EPIDEMIOL SANTE"
"5683",4719,62142,1,"RES","REESSO","REV ESPANOLA SOCIOLO"
"5684",2809,60232,2,"RESP","REESSAPU","REV ESP SALUD PUBLIC"
"5685",5652,63075,1,"RET","REELTE","REV ELECTRONICA TECN"
"5686",2428,59851,1,"RF","REFE","RECHERCHES FEMINISTE"
"5687",1395,58818,1,"RF","REFU","REV FUENTES"
"5688",2199,59622,1,"RFC","REFACI","REV FACULTADO CIENCI"
"5689",2590,60013,2,"RFC","REFICU","REV FISICA CULTURA"
"5690",1392,58815,1,"RFD","REFUDI","REV FUNCAE DIGITAL"
"5691",5797,63220,1,"RFE","REFEES","REV FEDERACION ESPAN"
"5692",5480,62903,1,"RFEFUA","REFAEDFIUAM","REV FAC ED FIS U AMA"
"5693",3713,61136,1,"RFI","REFAIN","REV FAC ING"
"5694",3399,60822,1,"RFR","ROFORO","ROFO FORTSCHR RONTG"
"5695",6064,63487,1,"RFS","ROFISW","RODALES FIT SWIM"
"5696",955,58378,4,"RGP","REGEPS","REV GEN PSYCHOL"
"5697",2604,60027,1,"RH","REHO","REV HORUS"
"5698",2628,60051,1,"RHC","REHICO","REV HIST COMP"
"5699",5135,62558,2,"RHC","REHOCL","REV. HOSP. CLIN."
"5700",1346,58769,2,"RHCP","REHOCLPO","REV HOSP CLIN PORTO"
"5701",1819,59242,1,"RHE","REHIED","REV HIST ED"
"5702",5471,62894,1,"RHE","REHIED","RES HIGH EDUC"
"5703",2017,59440,1,"RHMC","REHIMOCO","REV HIST MOD CONTEMP"
"5704",3696,61119,2,"RHS","ROHDSP","ROUTLEDGE HDB SPORT"
"5705",4648,62071,1,"RHS","ROHDSP","ROUTLEDGE HDB SPORTS"
"5706",1578,59001,1,"RI","REIN","REV INTERCONTINENTAL"
"5707",3254,60677,6,"RI","RHIN","RHEUMATOL INT"
"5708",122,57545,92,"RIC","RIINCI","RICYDE-REV INT CIENC"
"5709",2009,59432,8,"RICA","REIBCIAC","REV IBEROAM CIENC AC"
"5710",920,58343,4,"RICD","REINCIDE","REV INT CIENC DEPORT"
"5711",2007,59430,6,"RICD","REINCIDE","REV INT CIENCIAS DEP"
"5712",406,57829,1,"RICS","REINCISO","REV INT CIENCIAS SOC"
"5713",1038,58461,13,"RID","REIBD","REV IBEROAMERICANA D"
"5714",70,57493,6,"RIDC","REINDECO","REV INT DEPORTES COL"
"5715",2528,59951,3,"RIDC","REINDECO","REV INT DEPORT COLEC"
"5716",1198,58621,11,"RIDE","REIBDIEV","REV IBEROAM DIAGN EV"
"5717",2530,59953,1,"RIDG","REINDEGE","REV INT DERECHO GEST"
"5718",2551,59974,2,"RIDMYCDLAFYED","REINDEMEYCIDELAACFIYELDE","REVISTA INTERNACIONAL DE MEDICINA Y CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE"
"5719",3301,60724,1,"RIE","REIBE","REV IBEROAMERICANA E"
"5720",3812,61235,3,"RIE","REIBED","REV IBEROAM EDUC"
"5721",1117,58540,2,"RIE","REINED","REV INVESTIG EDUC"
"5722",4612,62035,1,"RIE","REINED","REV INVESTIG ED"
"5723",5341,62764,1,"RIE","REINED","REV INVEST ED"
"5724",1398,58821,3,"RIE","RIINED","RIE-REV INVESTIG EDU"
"5725",6289,63712,1,"RIF","REIBF","REV IBEROAMERICANA F"
"5726",442,57865,0,"RIH","ROINHA","ROUT INT HANDB"
"5727",5446,62869,1,"RIM","REIBMI","REV IBEROAM MICOL"
"5728",1088,58511,12,"RIMC","REINMECI","REV INT MED CIENCIAS"
"5729",60,57483,107,"RIMCA","REINMECIAC","REV INT MED CIENC AC"
"5730",4760,62183,1,"RINER","REINAENRE","REV I NAC ENF RESP"
"5731",1523,58946,13,"RIO","REINOR","REV IND ORGAN"
"5732",467,57890,14,"RIP","REIBP","REV IBEROAMERICANA P"
"5733",5279,62702,1,"RIP","REINP","REV INTERAMERICANA P"
"5734",4993,62416,2,"RIPC","REINPSC","REV INT PSICOLOGIA C"
"5735",123,57546,48,"RIPE","REIBPSE","REV IBEROAM PSICOL E"
"5736",3096,60519,1,"RIPS","REIBPSS","REV IBEROAM PSICOL S"
"5737",2426,59849,2,"RIPS","REINPSSO","REV INT PSYCHOL SOC"
"5738",6662,64085,1,"RIPS","REINPSSO","REV INT PSYCHOL SOCI"
"5739",3904,61327,2,"RIRP","REINREPU","REV INT RELAC PUBLIC"
"5740",4427,61850,2,"RIS","REINSO","REV INT SOCIOL"
"5741",3719,61142,1,"RISTE","REIBSITEE","REV IBE SIST TECNO E"
"5742",2719,60142,1,"RJ","RJ","R J"
"5743",5667,63090,1,"RJB","REJUBI","RECHT JUGEND BILDUNG"
"5744",5051,62474,1,"RJE","REJET","RES J ETHICS"
"5745",4159,61582,2,"RJESF","REJEXSCF","REV J EXERCISE SCI F"
"5746",3223,60646,2,"RJISRJIS","REJINSTREJINST","RES J INT STUD RES J INT STUD"
"5747",352,57775,1,"RJME","ROJMOEM","ROM J MORPHOL EMBRYOL"
"5748",1602,59025,18,"RJME","ROJMOEM","ROM J MORPHOL EMBRYO"
"5749",4171,61594,1,"RJPSS","REJPHSOSC","REV J PHILOS SOC SCI"
"5750",1034,58457,2,"RK","REKI","RES KINESIOLOGY"
"5751",1562,58985,2,"RK","REKI","RES KINESIOL"
"5752",3531,60954,1,"RK","REKI","REV KINESIS"
"5753",5655,63078,1,"RK","REKI","REV KINES"
"5754",3020,60443,1,"RK","REKR","REV KRONOS"
"5755",1262,58685,1,"RK","ROKA","ROSSIJSKIJ KARDIOLOG"
"5756",6547,63970,1,"RKI","ROKNIN","ROTATORY KNEE INSTABILITY"
"5757",1007,58430,28,"RLAP","RELAAMPS","REV LAT AM PSICOL"
"5758",4972,62395,1,"RLB","RELIBI","REV LINE BIBLIOTECA"
"5759",3902,61325,1,"RLCS","RELACOSO","REV LAT COMUN SOC"
"5760",4211,61634,1,"RLH","RELAHI","REV LATINOAM HIPERTE"
"5761",4568,61991,1,"RLP","RELAPS","REV LATINOAMERICA PS"
"5762",701,58124,0,"RLPG","RELIPOGE","REV LINE POLIT GEST"
"5763",4861,62284,1,"RLS","RELASO","RES LANGUAGE SOCIAL"
"5764",4102,61525,4,"RM","RAME","RADIOL MED"
"5765",5528,62951,1,"RM","REMA","REHAB MANAG"
"5766",2434,59857,4,"RM","REME","RESP MED"
"5767",1118,58541,2,"RM","REMO","REV MOTRICIDAD"
"5768",2636,60059,1,"RM","REMO","REV MOVIMENTUM"
"5769",2846,60269,1,"RM","REMO","REV MOTRICIDADE"
"5770",2848,60271,1,"RM","REMO","REV MOVIMENTO"
"5771",3932,61355,1,"RMB","REMEBR","REV MED BRUX"
"5772",3018,60441,2,"RMC","REMECH","REV MED CHILE"
"5773",4557,61980,1,"RMCC","REMECLCO","REV MED CLIN CONDES"
"5774",5816,63239,1,"RMCF","REMECIFA","REV MEXIC CIEN FARMA"
"5775",1739,59162,1,"RMD","REMEDE","REVISTA MEXICANA DE"
"5776",4994,62417,1,"RMDTA","REMEDETRAL","REV. MEX. DE TRASTOR. ALIMENT"
"5777",1455,58878,10,"RME","REMAED","REV MACKENZIE EDUCAC"
"5778",1612,59035,2,"RME","REMIED","REV MINEIRA EDUCACAO"
"5779",5656,63079,1,"RMEFE","REMAEDFIES","REV MACKE ED FIS ESP"
"5780",2658,60081,4,"RMES","REMOEDST","RES MOTIVATION ED ST"
"5781",2847,60270,1,"RMF","REMOFL","REV MOTRIVIVENCIA FL"
"5782",946,58369,0,"RMFL","REMUFRLO","REV MUS FR-REV LOUVR"
"5783",4110,61533,1,"RMH","REMOHU","REV MOVE HUM"
"5784",3508,60931,1,"RMI","REMEIN","REV MED INTERNE"
"5785",5361,62784,1,"RMI","REMEIN","REPROD MED INT"
"5786",4351,61774,1,"RMIMSS","REMEINMESESO","REV MED INST MEX SEGURO SOC"
"5787",2322,59745,2,"RML","REMELI","REV MED LIEGE"
"5788",3438,60861,1,"RMOM","REMEOSMI","REV MET OSEO MIN"
"5789",1010,58433,17,"RMP","REMEPS","REV MEX PSICOL"
"5790",2006,59429,1,"RMP","REMOPE","REV MOTRICIDAD PERSO"
"5791",3027,60450,1,"RMP","REMOPE","REV MOVIMENTO PERCEP"
"5792",4630,62053,1,"RMRC","REMORICL","REV MOTRIZ RIO CLARO"
"5793",4596,62019,1,"RMT","RAMET","RASCH MEAS T"
"5794",4598,62021,1,"RMT","RAMET","RASCH MEASUREMENT T"
"5795",6188,63611,1,"RMT","REMOTI","REACTION MOVEMENT TI"
"5796",4991,62414,1,"RMTA","REMETRAL","REV MEX TRASTOR ALIM"
"5797",578,58001,1,"RMV","RCMOVI","RCFAO MONDES VIRTUEL"
"5798",276,57699,3,"RN","RENE","REV NEUROL-FRANCE"
"5799",2627,60050,1,"RN","RENE","REV NEUROCIENCIAS"
"5800",3569,60992,2,"RN","RENU","REV. NUTR."
"5801",5429,62852,3,"RN","RENU","REV NUTR"
